Brazil|South America|193364000|22.716728745947616
Canada|North America|34207000|3.428881310807587
Colombia|South America|48654392|44.59985937049988
Egypt|Africa|93383574|93.383574
France|Europe|64668129|119.38949861901474
Indonesia|Asia|260581100|144.00000017683556
Italy|Europe|59801004|199.33668
Japan|Asia|123512322|326.89486680693955
Mexico|North America|128632004|65.3209398374419
Nigeria|Africa|186987563|205.00000082224722
South Africa|Africa|54978907|44.98274217269589
South Korea|Asia|50503933|514.9420781158299
United States of America|North America|309975000|32.19151215831276
asdf|Africa|12123415|571.2932943782102
